,Unnamed: 0,original_image,cropped_img_name,taxonomy_cat,color_tonks,color_prob,pattern_tonks,pattern_prob
2221,2221,fall_outfit_flat_lay_00000271.jpg,fall_outfit_flat_lay_00000271_3.jpg,top,white,0.987841785,striped,0.9999331236
2222,2222,fall_outfit_flat_lay_00000275.jpg,fall_outfit_flat_lay_00000275_3.jpg,top,purple,1,melange,0.9997615218
2223,2223,fall_outfit_flat_lay_00000291.jpg,fall_outfit_flat_lay_00000291_3.jpg,top,white,1,lace,0.9426409602
2224,2224,fall_outfit_flat_lay_00000293.jpg,fall_outfit_flat_lay_00000293_0.jpg,top,pink,0.9997990727,lace,0.9157209992
2225,2225,fall_outfit_flat_lay_00000298.jpg,fall_outfit_flat_lay_00000298_3.jpg,top,pink,0.9979194999,melange,0.6608345509
2226,2226,fall_outfit_flat_lay_00000365.jpg,fall_outfit_flat_lay_00000365_3.jpg,top,navy,0.9908412695,dotted,0.9357655048
2227,2227,fall_outfit_flat_lay_00000398.jpg,fall_outfit_flat_lay_00000398_2.jpg,top,white,1,striped,0.74868083
2228,2228,fall_outfit_flat_lay_00000408.jpg,fall_outfit_flat_lay_00000408_1.jpg,top,brown,0.7825441957,gingham,0.9988970757
2229,2229,fall_outfit_flat_lay_00000439.jpg,fall_outfit_flat_lay_00000439_0.jpg,top,green,0.9999998808,plaid,0.9999918938
2230,2230,fall_outfit_flat_lay_00000439.jpg,fall_outfit_flat_lay_00000439_4.jpg,top,grey,0.9999998808,melange,0.9993535876
2231,2231,fall_outfit_flat_lay_00000443.jpg,fall_outfit_flat_lay_00000443_3.jpg,top,white,0.9999997616,lace,0.9999245405
2232,2232,fall_outfit_flat_lay_00000504.jpg,fall_outfit_flat_lay_00000504_3.jpg,top,navy,0.9075402617,melange,0.9975989461
2233,2233,fall_outfit_flat_lay_00000504.jpg,fall_outfit_flat_lay_00000504_5.jpg,top,grey,0.999869585,melange,0.9977362156
2234,2234,fall_outfit_flat_lay_00000512.jpg,fall_outfit_flat_lay_00000512_1.jpg,top,pink,0.9965416789,melange,0.991215229
2235,2235,fall_outfit_flat_lay_00000516.jpg,fall_outfit_flat_lay_00000516_3.jpg,top,white,0.8623921871,lace,0.9987710118
2236,2236,Fashion_Flat_Lay_Photography_00000005.jpg,Fashion_Flat_Lay_Photography_00000005_1.jpg,top,grey,0.9999895096,melange,0.9999052286
2237,2237,Fashion_Flat_Lay_Photography_00000012.jpg,Fashion_Flat_Lay_Photography_00000012_3.jpg,top,white,0.9930033088,striped,0.999992013
2238,2238,Fashion_Flat_Lay_Photography_00000015.jpg,Fashion_Flat_Lay_Photography_00000015_2.jpg,top,blue,0.8262993097,geometric,0.973058939
2239,2239,Fashion_Flat_Lay_Photography_00000017.jpg,Fashion_Flat_Lay_Photography_00000017_3.jpg,top,grey,1,dotted,0.7568873167
2240,2240,Fashion_Flat_Lay_Photography_00000018.jpg,Fashion_Flat_Lay_Photography_00000018_10.jpg,top,grey,1,melange,0.9997691512
2241,2241,Fashion_Flat_Lay_Photography_00000018.jpg,Fashion_Flat_Lay_Photography_00000018_7.jpg,top,beige,1,solid,0.9995353222
2242,2242,Fashion_Flat_Lay_Photography_00000037.jpg,Fashion_Flat_Lay_Photography_00000037_0.jpg,top,navy,0.8561610579,melange,0.9989783764
2243,2243,Fashion_Flat_Lay_Photography_00000037.jpg,Fashion_Flat_Lay_Photography_00000037_3.jpg,top,grey,0.9999997616,melange,0.9999539852
2244,2244,Fashion_Flat_Lay_Photography_00000082.jpg,Fashion_Flat_Lay_Photography_00000082_0.jpg,top,grey,0.9999558926,melange,0.9997859597
2245,2245,Fashion_Flat_Lay_Photography_00000101.jpg,Fashion_Flat_Lay_Photography_00000101_2.jpg,top,white,1,dotted,1
2246,2246,Fashion_Flat_Lay_Photography_00000101.jpg,Fashion_Flat_Lay_Photography_00000101_4.jpg,top,red,0.9999996424,melange,0.9995620847
2247,2247,Fashion_Flat_Lay_Photography_00000124.jpg,Fashion_Flat_Lay_Photography_00000124_3.jpg,top,white,0.9999997616,striped,0.9999991655
2248,2248,Fashion_Flat_Lay_Photography_00000124.jpg,Fashion_Flat_Lay_Photography_00000124_4.jpg,top,white,0.9999927282,striped,0.9999985695
2249,2249,Fashion_Flat_Lay_Photography_00000125.jpg,Fashion_Flat_Lay_Photography_00000125_0.jpg,top,purple,0.8990260363,plaid,0.7520182133
2250,2250,Fashion_Flat_Lay_Photography_00000125.jpg,Fashion_Flat_Lay_Photography_00000125_2.jpg,top,grey,0.9999808073,striped,0.9999982119
2251,2251,Fashion_Flat_Lay_Photography_00000160.jpg,Fashion_Flat_Lay_Photography_00000160_3.jpg,top,white,0.999999404,lace,0.9735962152
2252,2252,Fashion_Flat_Lay_Photography_00000165.jpg,Fashion_Flat_Lay_Photography_00000165_3.jpg,top,green,0.8398963213,geometric,0.9296667576
2253,2253,Fashion_Flat_Lay_Photography_00000177.jpg,Fashion_Flat_Lay_Photography_00000177_1.jpg,top,grey,0.8894290328,striped,0.9999957085
2254,2254,Fashion_Flat_Lay_Photography_00000202.jpg,Fashion_Flat_Lay_Photography_00000202_0.jpg,top,grey,0.9977608919,striped,1
2255,2255,Fashion_Flat_Lay_Photography_00000207.jpg,Fashion_Flat_Lay_Photography_00000207_0.jpg,top,grey,0.999999404,melange,0.9999426603
2256,2256,Fashion_Flat_Lay_Photography_00000211.jpg,Fashion_Flat_Lay_Photography_00000211_3.jpg,top,white,1,melange,0.9799505472
2257,2257,Fashion_Flat_Lay_Photography_00000214.jpg,Fashion_Flat_Lay_Photography_00000214_1.jpg,top,purple,0.9999986887,melange,0.990549624
2258,2258,Fashion_Flat_Lay_Photography_00000216.jpg,Fashion_Flat_Lay_Photography_00000216_0.jpg,top,white,1,solid,0.9799249172
2259,2259,Fashion_Flat_Lay_Photography_00000217.jpg,Fashion_Flat_Lay_Photography_00000217_1.jpg,top,beige,0.9658744335,geometric,0.8610680699
2260,2260,Fashion_Flat_Lay_Photography_00000220.jpg,Fashion_Flat_Lay_Photography_00000220_0.jpg,top,navy,0.8394140005,paisley,0.9957357645
2261,2261,Fashion_Flat_Lay_Photography_00000222.jpg,Fashion_Flat_Lay_Photography_00000222_3.jpg,top,grey,0.9520413876,melange,0.6873576641
2262,2262,Fashion_Flat_Lay_Photography_00000228.jpg,Fashion_Flat_Lay_Photography_00000228_1.jpg,top,grey,0.9999982119,geometric,0.9954152107
2263,2263,Fashion_Flat_Lay_Photography_00000257.jpg,Fashion_Flat_Lay_Photography_00000257_3.jpg,top,green,1,solid,0.6925790906
2264,2264,Fashion_Flat_Lay_Photography_00000303.jpg,Fashion_Flat_Lay_Photography_00000303_2.jpg,top,white,0.9776019454,floral,0.9993818998
2265,2265,Fashion_Flat_Lay_Photography_00000334.jpg,Fashion_Flat_Lay_Photography_00000334_1.jpg,top,pink,0.9859386086,floral,0.9999996424
2266,2266,Fashion_Flat_Lay_Photography_00000429.jpg,Fashion_Flat_Lay_Photography_00000429_2.jpg,top,white,0.9972621202,striped,0.9999997616
2267,2267,Fashion_Flat_Lay_Photography_00000522.jpg,Fashion_Flat_Lay_Photography_00000522_2.jpg,top,red,1,melange,0.9361487627
2268,2268,Fashion_Flat_Lay_Photography_00000531.jpg,Fashion_Flat_Lay_Photography_00000531_2.jpg,top,grey,1,melange,0.9950710535
2269,2269,Fashion_Flat_Lay_Photography_00000576.jpg,Fashion_Flat_Lay_Photography_00000576_3.jpg,top,grey,0.9999960661,striped,0.9999984503
2270,2270,flat_lay_outfits_spring_fashion_00000004.jpg,flat_lay_outfits_spring_fashion_00000004_0.jpg,top,grey,0.9999997616,striped,0.9999989271
2271,2271,flat_lay_outfits_spring_fashion_00000013.jpg,flat_lay_outfits_spring_fashion_00000013_2.jpg,top,black,0.9999960661,floral,1
2272,2272,flat_lay_outfits_spring_fashion_00000014.jpg,flat_lay_outfits_spring_fashion_00000014_1.jpg,top,grey,1,dotted,0.9955621958
2273,2273,flat_lay_outfits_spring_fashion_00000016.jpg,flat_lay_outfits_spring_fashion_00000016_0.jpg,top,white,1,solid,0.9997498393
2274,2274,flat_lay_outfits_spring_fashion_00000039.jpg,flat_lay_outfits_spring_fashion_00000039_2.jpg,top,blue,0.7708151937,striped,0.8906851411
2275,2275,flat_lay_outfits_spring_fashion_00000058.jpg,flat_lay_outfits_spring_fashion_00000058_2.jpg,top,white,0.999999404,dotted,0.9999998808
2276,2276,flat_lay_outfits_spring_fashion_00000058.jpg,flat_lay_outfits_spring_fashion_00000058_4.jpg,top,red,0.9999864101,melange,0.9941704869
2277,2277,flat_lay_outfits_spring_fashion_00000078.jpg,flat_lay_outfits_spring_fashion_00000078_3.jpg,top,black,0.9999989271,melange,0.9999611378
2278,2278,flat_lay_outfits_spring_fashion_00000088.jpg,flat_lay_outfits_spring_fashion_00000088_2.jpg,top,green,0.999982357,melange,0.9997875094
2279,2279,flat_lay_outfits_spring_fashion_00000098.jpg,flat_lay_outfits_spring_fashion_00000098_1.jpg,top,green,1,solid,0.9987601042
2280,2280,flat_lay_outfits_spring_fashion_00000104.jpg,flat_lay_outfits_spring_fashion_00000104_2.jpg,top,purple,0.9998688698,striped,0.9999246597
2281,2281,flat_lay_outfits_spring_fashion_00000110.jpg,flat_lay_outfits_spring_fashion_00000110_1.jpg,top,blue,0.8401409388,dotted,1
2282,2282,flat_lay_outfits_spring_fashion_00000131.jpg,flat_lay_outfits_spring_fashion_00000131_2.jpg,top,white,1,dotted,0.631249547
2283,2283,flat_lay_outfits_spring_fashion_00000147.jpg,flat_lay_outfits_spring_fashion_00000147_3.jpg,top,brown,0.9999996424,solid,0.9954733253
2284,2284,flat_lay_outfits_spring_fashion_00000152.jpg,flat_lay_outfits_spring_fashion_00000152_3.jpg,top,purple,0.9999973774,melange,0.9999535084
2285,2285,flat_lay_outfits_spring_fashion_00000158.jpg,flat_lay_outfits_spring_fashion_00000158_1.jpg,top,grey,0.9999998808,plaid,0.9794461727
2286,2286,flat_lay_outfits_spring_fashion_00000163.jpg,flat_lay_outfits_spring_fashion_00000163_4.jpg,top,grey,0.9998853207,melange,0.9000834823
2287,2287,flat_lay_outfits_spring_fashion_00000170.jpg,flat_lay_outfits_spring_fashion_00000170_3.jpg,top,purple,0.5087860227,melange,0.999966383
